sno,campaign_name,date,results,cost_per_results,impressions,reach,instagram_follows,instagram_profile_visits,click_through_rate_ctr,amount_spent,gst,total_amount
1,Padha gausa Sales campaign,2026-02-24,61,57.68196721311475,325458,152212,4,136,0.175445,3518.6,633.348,4151.948
2,Diabetes Sales campaign,2026-03-06,242,16.659338842975206,60024,36223,1,63,2.205784,4031.56,725.6808,4757.2408
3,Akshayan sir online consultation Sales campaign,2026-03-24,1,36.58,289,276,0,2,2.768166,36.58,6.5844,43.1644
4,Pain free Sales campaign,2026-03-02,5,80.752,14563,10097,1,22,1.119275,403.76,72.6768,476.4368
5,paadha guausa Sales campaign,2026-02-25,293,32.39088737201365,625266,471632,17,357,0.428937,9490.53,1708.2954,11198.825400000002
6,Panchakarma  Sales campaign,2026-02-25,120,51.33025,444235,307541,6,270,0.377278,6159.63,1108.7334,7268.3634
7,CH - Anna nagar  Sales campaign,2026-02-02,97,23.54701030927835,130604,90065,8,97,0.528315,2284.06,411.13079999999997,2695.1908
8,womens day camp Sales campaign,2026-03-04,17,95.29411764705883,170191,84811,1,89,0.113402,1620.0,291.59999999999997,1911.6
9,cool pro Sales Campaign,2026-03-11,281,19.44964412811388,101410,59954,12,168,1.534365,5465.35,983.763,6449.113
10,Accu book Sales Campaign,2026-03-17,44,58.21181818181819,39124,24258,4,78,1.730396,2561.32,461.0376,3022.3576000000003
11,Anna nagar Sales Campaign,2026-03-17,21,89.42619047619048,47749,33441,0,10,0.800017,1877.95,338.031,2215.981
12,Kuppameni Traffic Campaign,2026-03-18,132,16.983409090909092,51033,24980,4,77,0.774009,2241.81,403.52579999999995,2645.3358
13,Hiring Leads Campaign,2026-03-20,90,12.096222222222224,22112,9450,5,113,2.053184,1088.66,195.9588,1284.6188000000002
14,Anna nagar Sales Campaign,2026-03-23,1,705.25,13327,6858,0,2,1.080513,705.25,126.945,832.1949999999999
15,Leads Campaign,2026-03-30,28,48.74607142857143,105040,72016,3,62,0.387471,1364.89,245.6802,1610.5702
16,Brush Sales Campaign,2026-04-03,72,65.16652777777777,712655,459903,6,382,0.180592,4691.99,844.5581999999999,5536.548199999999
17,Toothpaste Sales Campaign,2026-04-04,79,41.16139240506329,552823,426692,5,218,0.137114,3251.75,585.3149999999999,3837.065
18,acting Leads Campaign,2026-04-04,105,4.465142857142857,13132,6319,2,104,3.068839,468.84,84.3912,553.2312
19,OP Leads Campaign,2026-04-08,42,81.98809523809524,303504,209732,0,140,0.305762,3443.5,619.8299999999999,4063.33
