s_no,year,month,branch,branch_city,standard_treatment,variable_treatment,total_treatment,total_medicine_sales,total_sales
1,2026,February,Madurai Anna Busstand,Madurai,137911,91260,229171,387221,616392
2,2026,February,Madurai Anna Nagar,Madurai,133785,61290,195075,361113,556188
3,2026,February,Chennai Alandur,Chennai,245178,60480,305658,506340,811998
4,2026,February,Chennai Anna Nagar,Chennai,96723,0,96723,142093,238816
5,2026,March,Madurai Anna Busstand,Madurai,168997,67860,236857,523195,760052
6,2026,March,Madurai Anna Nagar,Madurai,186838,99456,286294,331377,617671
7,2026,March,Chennai Alandur,Chennai,307687,42320,350007,419567,769574
8,2026,March,Chennai Anna Nagar,Chennai,114740,0,114740,179182,293922
9,2026,April,Madurai Anna Busstand,Madurai,146174,50040,196214,478478,674692
10,2026,April,Madurai Anna Nagar,Madurai,144397,46800,191197,342026,533223
11,2026,April,Chennai Alandur,Chennai,292039,82680,374719,407304,782023
12,2026,April,Chennai Anna Nagar,Chennai,140442,28260,168702,170397,339099
13,2026,May,Madurai Anna Busstand,Madurai,143192,62403,205595,428383,633978
14,2026,May,Madurai Anna Nagar,Madurai,158493,77927,236420,351455,587875
15,2026,May,Chennai Alandur,Chennai,308007,57211,365218,404393,769611
16,2026,May,Chennai Anna Nagar,Chennai,162217,26934,189151,210502,399653
