aig_swasi_naturo_cure_hospital,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,unnamed_16,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,unnamed_25,unnamed_26,unnamed_27,unnamed_28,unnamed_29,unnamed_30,unnamed_31,unnamed_32,unnamed_33,unnamed_34,unnamed_35,unnamed_36,unnamed_37,unnamed_38,unnamed_39,unnamed_40,unnamed_41,unnamed_42,unnamed_43,unnamed_44,unnamed_45,unnamed_46,unnamed_47,unnamed_48,unnamed_49,unnamed_50,unnamed_51,unnamed_52,unnamed_53,unnamed_54,unnamed_55,unnamed_56,unnamed_57,unnamed_58,unnamed_59,unnamed_60,unnamed_61,unnamed_62,unnamed_63,unnamed_64,unnamed_65,unnamed_66,unnamed_67,unnamed_68,unnamed_69,unnamed_70,unnamed_71,unnamed_72,unnamed_73,unnamed_74,unnamed_75,unnamed_76,unnamed_77,unnamed_78,unnamed_79,unnamed_80,unnamed_81,unnamed_82,unnamed_83,unnamed_84,unnamed_85,unnamed_86,unnamed_87,unnamed_88
Branch Operations System · BO-FRM-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Closing Checklist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,,,,,,,,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,,Month - JULY,
,DAY 01,,DAY 02,,DAY 03,,DAY 04,,DAY 05,,DAY 06,,DAY 07,,DAY 08,,DAY 09,,DAY 10,,DAY 11,,DAY 12,,DAY 13,,DAY 14,,DAY 15,,DAY 16,,DAY 17,,DAY 18,,DAY 19,,DAY 20,,DAY 21,,DAY 22,,DAY 23,,DAY 24,,DAY 25,,DAY 26,,DAY 27,,DAY 28,,DAY 29,,DAY 30,,DAY 31,,,,,,,,,,DAY 36,,DAY 37,,DAY 38,,DAY 39,,DAY 40,,DAY 41,,DAY 42,,DAY 43,,DAY 44,
,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,,,,,,,,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,,Date:,
,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,,,,,,,,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,,Closing Staff 1 (Name + Role):,
,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,,,,,,,,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,,Closing Staff 2 (Name + Role):,
Section A — Billing Reconciliation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total in billing software (Rs.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total cash collected (Rs.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
