s_no,issue,branch,link,2026_01_06_00_00_00,2026_02_06_00_00_00,2026_03_06_00_00_00,2026_04_06_00_00_00,2026_05_06_00_00_00,2026_06_06_00_00_00,2026_07_06_00_00_00,2026_08_06_00_00_00,2026_09_06_00_00_00,2026_10_06_00_00_00,2026_11_06_00_00_00,2026_12_06_00_00_00,6_13_2026,6_14_2026,6_15_2026,6_16_2026,6_17_2026,6_18_2026,6_19_2026,6_20_2026,6_21_2026,6_22_2026,6_23_2026,6_24_2026,6_25_2026,6_26_2026,6_27_2026,6_28_2026,6_29_2026,6_30_2026
1,unused chairs are overlapped and found inside medicine room,Madurai Anna Nagar,https://drive.google.com/file/d/1FDEbusxXLCDRCLV2rvAf1zA7-ocwNuyd/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
2,Glasses and cardboards placed under acupuncture bed,Madurai Anna Nagar,https://drive.google.com/file/d/11wINOZCKNmsF0z3H-FczNBoA1WRfkn2E/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
3,Wash basin unclean,Madurai Anna Nagar,https://drive.google.com/file/d/1rfXtY6C6xDqh3-1IVyyR2Fb62RRcUecC/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
4,Unarranged things inside cupboard,Madurai Anna Nagar,https://drive.google.com/file/d/1W0TBag95OkH7DpZvWmdhxFRNvT_6T2A_/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
5,Wifi router found hanging -not placed in place,Madurai Anna Nagar,https://drive.google.com/file/d/1SqaN5JGRNAv3Hz0v0wBHkVAoJYGBCu6I/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
6,Dusted window in store room area,Madurai Anna Nagar,https://drive.google.com/file/d/1CF1fBg7nX-iI1NbnT5BCGTxiK-DAKYcK/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
7,Tripper placed without outside box in unsafe manner,Madurai Anna Nagar,https://drive.google.com/file/d/1vVMBxe-uY7NKCI5uj3t0kPx8PN36Z3uO/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
8,vessels are places unorganized in unclean area infront of bathroom,Madurai Anna Nagar,https://drive.google.com/file/d/1SebKItqVGTCMRh9WU4n_c9RRfR-dpBfV/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
9,Broken mirror placed outside bathroom area,Madurai Anna Nagar,https://drive.google.com/file/d/1jWtTN884qsJwrv4LWC5cr2tFn3-2Le4B/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
10,A message need to be in both the languages (English & Tamil),Madurai Anna Busstand,https://drive.google.com/file/d/1fQ2jaz2FFE4GvPd4fK51LD9G2GUJNT7e/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
11,"Review QR is placed at a corner of the front desk, an A4 sheet containing a QR code and pasted in the wall would be better.",Madurai Anna Busstand,https://drive.google.com/file/d/182Eir5GQV9ScjFxSMIUCOuwMsu3Qaw31/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
12,Not dusted behind the TV,Madurai Anna Busstand,https://drive.google.com/file/d/1dOT2Qz6szXHUaAtRy3KrRNiA4pJDDIky/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
13,Slippers not arranged properly,Madurai Anna Busstand,https://drive.google.com/file/d/1XI3uiEJ5Mb5PrVVYAogzat8K2jyaNEqv/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
14,Floor mats are missing in the padhaguasa treatment area,Madurai Anna Busstand,https://drive.google.com/file/d/1rS9aYt_toAWE2ZfRwxohc2cf_-mXScAw/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
15,The leg resting table in the padhaguasa treatment area is damaged.,Madurai Anna Busstand,https://drive.google.com/file/d/1GXQueXwzvUCSc-9HhZuK4zBNJS4-X5R7/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
16,"Generator is placed in the kitchen area. As there is no door in the kitchen area, the heat produced is making the treatment room hot",Madurai Anna Busstand,https://drive.google.com/file/d/1ZSePA5MJeiI4uC_zvd3E2zjihqj53idp/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
17,The notice board require dust cleaning,Madurai Anna Busstand,https://drive.google.com/file/d/1Q0v8WyLS_n3yjsmnEpM85nkp7nIWmUpM/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
18,ceiling require dust cleaning,Madurai Anna Busstand,https://drive.google.com/file/d/1Ezt3RQbqlABxiiy3VJyxu2mSfpuUbEqm/view?usp=drive_link,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
19,Stagnant water was observed in front of the hospital entrance. The water has accumulated on the roadside and appears to be standing for an extended period. Mosquito larvae and mosquito activity were noticed in the stagnant water,Madurai Anna Busstand,https://drive.google.com/file/d/1judhd0Geesgt_pCn1m2URGeQio8AgHMh/view?usp=drive_link,,,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved,Unresolved
